publisher_id,publication_date,book_id
1,2006-09-16,1
1,2004-09-01,2
2,2003-11-01,3
1,2004-05-01,4
2,2004-09-13,5
3,2005-04-26,6
2,2005-09-12,7
4,2005-11-01,8
5,2002-04-30,9
6,2004-08-03,10
7,2005-03-23,11
8,1996-01-17,12
9,2004-09-14,13
9,2002-12-03,14
9,2004-09-14,15
9,2001-05-15,16
9,2000-06-28,17
10,1990-08-28,18
10,1993-03-28,19
10,1997-05-28,20
10,1991-09-28,21
11,2012-09-25,22
12,2004-10-21,23
12,2003-09-05,24
12,2002-10-01,25
12,2003-11-05,26
12,2004-11-15,27
13,2005-07-28,28
14,2000-04-01,29
15,1994-08-28,30
16,2001-01-23,31
17,2003-06-10,32
18,2005-11-01,33
19,2005-11-01,34
20,2006-08-17,35
21,2003-04-14,36
22,2004-06-08,37
23,2005-04-12,38
24,1990-08-28,39
25,2006-08-29,40
26,2004-06-15,41
27,2004-06-15,42
28,2006-05-15,43
29,2005-12-14,44
30,1982-06-01,45
31,2006-05-16,46
30,1986-04-01,47
30,1990-09-01,48
30,1999-01-06,49
30,1991-04-01,50
30,1994-04-01,51
30,1994-04-01,52
30,1987-11-01,53
32,2002-03-01,54
33,1991-07-02,55
34,2006-03-29,56
35,2006-03-14,57
36,2003-09-01,58
37,1997-01-28,59
38,2002-11-15,60
39,2004-11-15,61
40,2003-04-28,62
41,2003-10-16,63
42,2004-05-10,64
35,2004-08-19,65
43,1987-06-15,66
43,1987-07-01,67
43,1987-07-15,68
44,2004-07-01,69
45,1984-04-16,70
46,2006-08-29,71
43,1987-08-15,72
12,2002-06-12,73
11,1996-09-29,74
47,2005-09-13,75
48,2004-11-01,76
49,2006-05-19,77
50,2000-02-07,78
10,2005-05-03,79
49,2006-10-30,80
51,2006-01-24,81
49,2004-09-17,82
49,2006-06-06,83
49,2004-05-31,84
49,2005-04-25,85
52,2006-07-29,86
53,2005-05-03,87
53,2005-05-03,88
52,2007-01-01,89
54,2004-05-31,90
55,2002-11-05,91
56,2003-01-30,92
57,1965-11-26,93
58,2003-07-01,94
59,2004-11-23,95
60,2004-08-26,96
61,2006-01-28,97
62,1987-11-26,98
56,1990-07-03,99
33,1998-06-30,100
63,1996-02-01,101
64,2005-09-27,102
65,1995-01-28,103
66,2000-12-20,104
67,2003-09-22,105
15,1991-09-28,106
68,1994-10-01,107
69,2002-05-01,108
70,2002-01-01,109
71,1984-06-01,110
72,1994-06-01,111
73,2006-01-03,112
74,2005-11-01,113
44,2006-03-07,114
75,2004-08-10,115
75,2005-03-08,116
75,2004-08-10,117
33,1990-10-03,118
76,2005-08-30,119
77,2001-10-01,120
78,1996-10-03,121
79,1964-02-01,122
80,1994-01-13,123
80,1994-01-06,124
80,1994-01-13,125
80,1994-01-13,126
80,1994-01-12,127
81,1970-01-17,128
54,2003-09-30,129
82,2004-01-16,130
83,1999-05-06,131
18,1994-08-01,132
84,1986-03-12,133
85,1999-07-01,134
86,1998-04-01,135
56,1998-01-01,136
87,1995-02-21,137
53,2003-03-03,138
87,2011-06-14,139
38,2001-09-15,140
88,2004-10-01,141
89,2005-06-01,142
90,2003-07-01,143
4,2002-09-03,144
91,2006-01-31,145
92,1996-11-22,146
93,1990-01-01,147
94,1955-09-12,148
95,2005-06-07,149
96,2005-02-15,150
97,2002-06-01,151
98,1997-06-17,152
99,1991-10-01,153
43,1988-06-01,154
98,1985-10-12,155
44,2006-08-08,156
100,1991-02-15,157
98,2005-04-26,158
98,2005-12-27,159
11,1998-10-27,160
71,2003-07-01,161
101,2011-01-12,162
102,2005-01-30,163
103,2005-09-12,164
89,1993-06-12,165
104,1998-02-02,166
64,1998-07-09,167
105,1991-05-01,168
56,1989-07-06,169
106,1989-07-17,170
64,2004-04-06,171
56,1994-01-01,172
33,1989-07-17,173
107,2006-11-21,174
108,2005-07-05,175
68,1999-04-01,176
56,2000-01-01,177
76,2004-01-03,178
54,1997-09-01,179
56,2006-10-31,180
109,1985-04-30,181
54,1996-08-29,182
110,2005-10-04,183
31,1990-10-01,184
111,1995-04-11,185
33,2004-09-14,186
31,1990-10-01,187
111,1995-04-25,188
112,2006-10-17,189
30,2005-11-15,190
54,2006-03-28,191
56,1987-04-07,192
56,1987-07-07,193
113,1986-11-01,194
114,1995-01-01,195
115,2006-10-17,196
56,1990-04-01,197
56,1991-12-01,198
116,2007-01-23,199
56,1993-09-01,200
81,2002-06-17,201
117,2002-11-07,202
118,2005-12-27,203
119,2006-02-01,204
62,1990-03-29,205
120,2001-08-07,206
11,2002-01-29,207
121,1998-09-17,208
122,2006-05-17,209
53,2001-02-01,210
123,1994-10-01,211
124,2000-12-01,212
125,2006-06-27,213
13,2004-10-11,214
57,2000-06-13,215
126,2005-10-11,216
127,2006-09-12,217
128,1989-01-01,218
115,2003-06-01,219
129,2004-04-01,220
11,1990-05-13,221
130,2005-02-17,222
130,2006-08-01,223
131,2005-05-15,224
64,2006-06-13,225
64,2004-07-02,226
132,1996-05-02,227
133,2006-04-25,228
134,2005-04-01,229
10,1990-11-19,230
135,2002-07-05,231
136,2004-09-01,232
137,2003-04-01,233
138,1998-06-25,234
59,2006-09-08,235
139,1999-08-01,236
140,1963-12-01,237
141,2005-04-26,238
55,1964-11-01,239
142,1999-12-01,240
55,1996-01-01,241
55,1986-07-15,242
142,1997-02-01,243
